locality,city,avg_rent,distance_to_college,metro_distance,safety_score,food_score,hospital_count,mall_count,public_transport_score,pollution_index,internet_speed,student_rating
Rohini,Delhi,8842,16.32,2.73,5,9,2,8,2,130,33,1.5
Mayur Vihar,Delhi,9341,16.94,2.37,5,9,12,1,9,273,181,1.5
Vasant Kunj,Delhi,15607,15.73,2.82,2,8,18,0,3,88,161,1.4
Karol Bagh,Delhi,15387,11.19,2.93,4,4,16,3,2,160,124,1.6
Dwarka,Delhi,9501,13.08,1.06,8,7,11,13,9,160,132,1.0
Malviya Nagar,Delhi,14243,17.5,1.26,6,7,15,1,3,215,69,1.5
Rajouri Garden,Delhi,14452,14.42,0.52,6,9,14,13,7,161,174,4.1
Mukherjee Nagar,Delhi,8015,7.45,2.57,2,8,15,6,6,124,136,1.5
Kamla Nagar,Delhi,10344,7.53,3.76,9,9,13,7,1,237,188,2.6
Karol Bagh,Delhi,14157,15.41,0.43,4,1,4,4,8,252,134,2.6
Dwarka,Delhi,8723,15.05,4.56,7,1,17,12,9,81,100,2.2
Vasant Kunj,Delhi,17045,1.02,4.62,6,3,14,14,5,64,181,1.6
Pitampura,Delhi,11096,6.23,0.11,2,5,2,2,1,50,178,3.4
Saket,Delhi,13452,7.08,2.18,8,4,9,7,1,136,170,4.2
Karol Bagh,Delhi,13675,1.3,3.71,6,2,9,5,4,122,31,1.2
Mukherjee Nagar,Delhi,10359,11.11,3.89,1,9,4,6,5,241,146,3.6
GTB Nagar,Delhi,11163,17.96,0.14,8,8,15,1,7,58,23,1.8
Janakpuri,Delhi,12523,2.73,3.86,8,9,14,2,5,294,138,2.3
Rohini,Delhi,7447,10.91,1.48,4,1,18,7,5,80,92,3.9
Dwarka,Delhi,11023,11.25,2.07,9,2,17,9,8,162,150,2.9
Malviya Nagar,Delhi,15921,5.56,4.34,5,2,13,1,2,238,163,4.0
Tilak Nagar,Delhi,10258,1.19,2.41,3,2,18,10,1,117,77,1.9
Ashok Vihar,Delhi,9361,11.96,3.58,5,2,12,7,3,297,14,4.2
Janakpuri,Delhi,11535,17.68,1.58,7,6,6,0,8,67,144,4.9
Tilak Nagar,Delhi,7664,9.46,4.89,6,3,2,5,8,127,127,1.2
Dwarka,Delhi,9010,0.74,2.06,1,3,3,10,6,77,98,2.8
Kamla Nagar,Delhi,10286,7.18,4.37,3,2,2,6,6,266,129,2.3
Mayur Vihar,Delhi,11936,13.4,4.93,8,7,5,12,2,140,127,4.2
Laxmi Nagar,Delhi,7697,8.26,4.96,5,4,6,12,7,259,15,2.8
Ashok Vihar,Delhi,12194,18.1,3.81,2,5,3,3,3,61,14,4.3
Vasant Kunj,Delhi,17506,16.86,1.71,3,9,5,0,3,140,19,1.3
Rajouri Garden,Delhi,11623,10.2,4.62,9,2,11,8,8,137,86,2.4
Mukherjee Nagar,Delhi,7219,11.3,3.57,9,2,11,6,6,224,49,4.5
Mayur Vihar,Delhi,11976,12.7,4.48,9,3,4,7,3,141,64,1.8
Vasant Kunj,Delhi,15356,16.66,1.85,9,6,5,5,6,60,92,2.0
Laxmi Nagar,Delhi,8612,8.27,1.46,4,7,19,6,5,51,134,2.3
Mayur Vihar,Delhi,8316,8.35,3.0,7,1,13,2,6,64,144,3.9
Vasant Kunj,Delhi,14393,3.79,2.35,8,8,17,12,5,121,106,2.2
Malviya Nagar,Delhi,13674,7.42,4.78,4,7,2,5,5,226,195,4.8
Malviya Nagar,Delhi,15917,19.54,1.76,7,4,11,2,9,94,129,3.9
Laxmi Nagar,Delhi,7823,2.18,4.96,4,3,15,12,3,214,22,2.5
Dwarka,Delhi,8147,15.3,0.84,2,6,11,0,9,137,159,3.7
Saket,Delhi,15258,17.8,1.61,2,9,16,4,8,285,167,4.7
Mukherjee Nagar,Delhi,9750,4.68,1.47,6,4,2,2,4,59,188,1.6
Kamla Nagar,Delhi,10451,19.54,0.55,1,5,3,13,9,187,157,4.9
Pitampura,Delhi,13349,19.77,3.05,3,3,11,3,7,236,124,1.3
Mukherjee Nagar,Delhi,8595,6.15,1.67,7,9,4,5,6,179,119,4.7
Kamla Nagar,Delhi,10753,18.76,4.85,6,2,16,5,2,203,48,4.8
Mayur Vihar,Delhi,11098,16.51,4.28,1,4,8,2,4,258,149,4.0
GTB Nagar,Delhi,10972,6.63,2.33,1,6,8,13,4,154,22,3.6
Tilak Nagar,Delhi,7734,8.38,3.58,1,5,2,10,7,237,81,2.7
Tilak Nagar,Delhi,10817,18.2,0.53,3,6,5,2,6,124,168,4.4
Rajouri Garden,Delhi,14567,7.2,3.46,5,4,17,2,6,119,60,2.3
Mukherjee Nagar,Delhi,9068,3.1,3.0,4,8,17,2,4,264,62,3.2
Laxmi Nagar,Delhi,9170,5.35,1.7,5,4,18,3,3,79,103,3.3
Tilak Nagar,Delhi,9582,4.97,0.97,9,8,19,4,1,217,182,5.0
Mayur Vihar,Delhi,8122,9.55,1.11,7,1,11,4,7,221,109,3.8
Saket,Delhi,16949,14.77,1.39,5,1,5,7,4,155,79,2.0
Mukherjee Nagar,Delhi,10320,6.36,3.5,2,2,15,8,9,255,110,1.7
Karol Bagh,Delhi,15090,16.74,4.56,3,9,15,4,8,162,174,1.5
Karol Bagh,Delhi,14093,16.9,4.61,7,1,15,14,5,198,181,3.8
Ashok Vihar,Delhi,10916,4.08,4.39,3,8,1,5,1,114,91,2.9
Saket,Delhi,14606,8.4,3.63,9,4,3,2,6,114,196,4.9
Malviya Nagar,Delhi,12426,16.25,3.29,9,9,10,3,4,188,68,1.9
Rohini,Delhi,6233,7.84,1.5,3,8,5,4,6,267,68,2.4
Ashok Vihar,Delhi,9657,18.9,5.0,3,4,11,4,1,254,144,4.7
Pitampura,Delhi,13640,12.81,2.36,9,4,8,0,3,174,147,3.9
Rajouri Garden,Delhi,11999,9.9,0.16,4,5,9,9,9,95,52,2.3
Rajouri Garden,Delhi,11273,8.64,0.16,6,5,19,14,4,79,85,3.8
Tilak Nagar,Delhi,11479,7.96,2.16,5,8,7,11,8,169,11,3.2
Janakpuri,Delhi,12073,3.5,3.75,6,6,8,3,9,298,165,2.3
Janakpuri,Delhi,10368,14.38,4.74,3,2,18,1,3,201,143,4.9
Malviya Nagar,Delhi,13712,19.96,3.87,6,5,13,10,3,179,83,2.3
Saket,Delhi,15183,12.39,4.78,7,3,3,3,2,118,39,4.7
GTB Nagar,Delhi,10910,18.67,3.36,4,9,8,7,9,189,181,3.8
Dwarka,Delhi,8368,6.06,1.17,8,2,9,1,5,154,101,2.8
Rohini,Delhi,9372,8.92,1.9,4,5,4,13,1,188,177,3.1
Dwarka,Delhi,11631,13.93,4.91,6,3,7,1,4,276,175,2.2
Okhla,Delhi,9183,18.79,1.87,1,3,4,5,3,235,31,2.5
Janakpuri,Delhi,10454,9.37,4.4,2,3,9,12,7,266,49,3.4
Rohini,Delhi,6955,7.3,1.93,6,8,14,8,3,57,173,1.4
Okhla,Delhi,7943,17.24,1.07,7,1,10,0,8,255,32,1.7
Laxmi Nagar,Delhi,8887,15.71,1.63,3,7,19,4,8,142,169,4.1
Okhla,Delhi,8866,2.91,0.91,2,7,10,14,6,198,76,1.9
Ashok Vihar,Delhi,12381,3.08,3.67,1,4,17,6,1,107,106,3.8
Ashok Vihar,Delhi,9393,1.17,4.32,5,5,11,3,5,249,54,1.8
Kamla Nagar,Delhi,11738,11.38,1.86,8,5,8,13,3,293,186,2.6
Rajouri Garden,Delhi,14916,10.56,4.61,9,5,6,11,7,294,67,2.9
Mukherjee Nagar,Delhi,8307,10.32,2.83,3,2,14,7,3,63,122,4.1
Malviya Nagar,Delhi,12947,6.28,3.48,3,6,3,2,7,130,183,2.7
Kamla Nagar,Delhi,10566,5.8,1.58,2,4,11,7,2,185,165,5.0
Rohini,Delhi,6250,4.72,0.22,5,8,5,12,4,246,192,3.8
Dwarka,Delhi,8101,1.65,0.5,1,2,11,2,5,120,116,2.8
Okhla,Delhi,6940,9.93,1.77,1,2,8,4,4,168,37,2.5
Malviya Nagar,Delhi,12045,2.5,1.06,4,6,14,1,1,217,194,4.0
Janakpuri,Delhi,12308,2.24,4.82,1,5,12,11,8,264,158,2.9
Vasant Kunj,Delhi,17102,0.77,0.22,4,3,7,0,4,215,28,2.4
Dwarka,Delhi,8240,3.71,2.03,4,9,3,10,1,93,170,3.1
Janakpuri,Delhi,10999,1.53,3.99,8,1,11,10,6,60,71,1.6
Mukherjee Nagar,Delhi,7886,4.56,3.23,9,5,5,9,6,166,183,1.6
Dwarka,Delhi,11362,11.43,4.21,9,8,14,3,8,76,91,1.9
Mayur Vihar,Delhi,8820,9.92,4.72,5,2,3,8,4,286,20,1.1
Laxmi Nagar,Delhi,8843,11.53,0.93,7,7,7,6,7,144,38,1.4
Karol Bagh,Delhi,13770,19.34,4.55,3,4,18,10,3,273,110,3.5
Okhla,Delhi,7994,4.17,3.1,2,3,7,9,6,207,90,1.1
Kamla Nagar,Delhi,11099,13.78,1.9,6,6,3,4,6,268,72,2.3
Pitampura,Delhi,12963,9.37,2.26,9,2,15,6,2,88,117,3.5
Laxmi Nagar,Delhi,9232,11.89,4.89,6,3,11,3,6,89,110,4.8
Ashok Vihar,Delhi,11054,11.17,4.35,7,2,15,0,5,166,86,3.6
Malviya Nagar,Delhi,15026,0.92,3.19,6,1,4,13,5,185,49,1.8
GTB Nagar,Delhi,10645,7.34,2.44,2,4,7,2,3,178,81,2.5
Tilak Nagar,Delhi,8608,1.16,4.45,5,6,3,2,8,69,146,3.1
Janakpuri,Delhi,10703,17.68,0.94,9,2,15,1,2,216,111,4.2
Rohini,Delhi,8683,6.86,0.89,3,6,6,10,4,145,189,1.6
Karol Bagh,Delhi,12628,12.42,1.82,6,6,7,5,8,258,75,3.9
Kamla Nagar,Delhi,9254,16.3,1.38,2,6,3,10,3,93,192,4.2
Rohini,Delhi,6289,0.55,3.94,6,6,3,10,9,51,87,2.7
Pitampura,Delhi,11205,17.8,3.16,4,5,11,5,7,169,86,4.2
Ashok Vihar,Delhi,9771,7.08,1.8,2,4,2,12,8,247,199,4.4
Malviya Nagar,Delhi,13441,5.59,2.68,7,7,17,10,1,52,176,2.7
